file	id	severity	route	family	reason	records	degraded	detail
2-7-2.md	2.7.2	typed	typed	prose	typed	113-114		
2-8.md	2.8	typed	typed	prose	typed	114-115		
2-8-1.md	2.8.1	typed	typed	prose	typed	115-118		
2-8-2.md	2.8.2	typed	typed	prose	typed	118-120		
3-0.md	3.0	typed	typed	prose	typed	120-122		
3-1.md	3.1	typed	typed	prose	typed	122-123		
3-1-1.md	3.1.1	typed	typed	prose	typed	123-125		
3-1-2.md	3.1.2	typed	typed	prose	typed	125-126		
3-1-3.md	3.1.3	typed	typed	prose	typed	126-132		
3-1-4.md	3.1.4	typed	typed	prose	typed	132-136		
3-1-5.md	3.1.5	best-effort	best-effort		typed-lowering-declined	136-146		prose topic rejected: placeholder run '?' is followed by visible text at record 136 token 183
3-1-6.md	3.1.6	typed	typed	prose	typed	146-155		
3-1-7.md	3.1.7	typed	typed	prose	typed	155-167		
3-1-8.md	3.1.8	typed	typed	prose	typed	167-173		
3-1-9.md	3.1.9	typed	typed	prose	typed	173-179		
3-1-10.md	3.1.10	typed	typed	prose	typed	179-180		
3-1-11.md	3.1.11	typed	typed	prose	typed	180-182		
3-2.md	3.2	typed	typed	prose	typed	182-183		
3-2-1.md	3.2.1	typed	typed	prose	typed	183-187		
3-2-2.md	3.2.2	typed	typed	prose	typed	187-188		
3-2-3.md	3.2.3	typed	typed	prose	typed	188-191		
3-2-4.md	3.2.4	typed	typed	prose	typed	191-204		
3-3.md	3.3	typed	typed	prose	typed	204-205		
3-3-1.md	3.3.1	typed	typed	prose	typed	205-207		
3-3-2.md	3.3.2	typed	typed	prose	typed	207-208		
3-3-3.md	3.3.3	typed	typed	prose	typed	208-209		
3-3-4.md	3.3.4	typed	typed	prose	typed	209-211		
3-4.md	3.4	typed	typed	prose	typed	211-214		
3-4-1.md	3.4.1	typed	typed	prose	typed	214-215		
3-4-2.md	3.4.2	typed	typed	prose	typed	215-217		
3-4-3.md	3.4.3	typed	typed	prose	typed	217-219		
3-4-4.md	3.4.4	typed	typed	prose	typed	219-220		
3-4-5.md	3.4.5	typed	typed	prose	typed	220-224		
4-0.md	4.0	typed	typed	prose	typed	224-225		
4-1.md	4.1	typed	typed	prose	typed	225-226		
4-2.md	4.2	typed	typed	prose	typed	226-227		
4-3.md	4.3	typed	typed	prose	typed	227-233		
4-3-1.md	4.3.1	typed	typed	prose	typed	233-235		
4-3-2.md	4.3.2	typed	typed	prose	typed	235-239		
4-3-3.md	4.3.3	typed	typed	prose	typed	239-241		
4-3-4.md	4.3.4	typed	typed	prose	typed	241-247		
4-3-4-1.md	4.3.4.1	typed	typed	prose	typed	247-255		
4-3-4-2.md	4.3.4.2	typed	typed	prose	typed	255-259		
4-3-5.md	4.3.5	typed	typed	prose	typed	259-263		
4-3-6.md	4.3.6	typed	typed	prose	typed	263-267		
4-3-7.md	4.3.7	typed	typed	prose	typed	267-270		
