file	id	severity	route	family	reason	records	degraded	detail
6-3.md	6.3	typed	typed	prose	typed	508-511		
6-3-1.md	6.3.1	typed	typed	prose	typed	511-512		
6-3-2.md	6.3.2	typed	typed	prose	typed	512-514		
6-3-3.md	6.3.3	typed	typed	prose	typed	525-526		
6-3-4.md	6.3.4	typed	typed	prose	typed	528-529		
6-4.md	6.4	typed	typed	prose	typed	529-531		
6-4-1.md	6.4.1	typed	typed	prose	typed	531-532		
6-4-2.md	6.4.2	typed	typed	prose	typed	532-534		
6-4-3.md	6.4.3	typed	typed	prose	typed	534-535		
6-4-4.md	6.4.4	typed	typed	prose	typed	535-537		
6-4-5.md	6.4.5	typed	typed	prose	typed	537-538		
6-5.md	6.5	typed	typed	prose	typed	538-539		
6-5-1.md	6.5.1	typed	typed	prose	typed	539-540		
6-5-2.md	6.5.2	typed	typed	prose	typed	545-546		
6-5-3.md	6.5.3	typed	typed	prose	typed	546-547		
6-6.md	6.6	typed	typed	prose	typed	547-549		
6-7.md	6.7	typed	typed	prose	typed	554-561		
6-7-1.md	6.7.1	typed	typed	prose	typed	561-562		
6-8.md	6.8	typed	typed	prose	typed	564-569		
6-8-1.md	6.8.1	typed	typed	prose	typed	569-570		
6-8-2.md	6.8.2	typed	typed	prose	typed	570-571		
6-9.md	6.9	typed	typed	prose	typed	571-572		
7-0.md	7.0	typed	typed	prose	typed	572-573		
7-1.md	7.1	typed	typed	prose	typed	573-578		
7-1-1.md	7.1.1	typed	typed	prose	typed	578-579		
7-1-2.md	7.1.2	typed	typed	prose	typed	579-580		
7-1-3.md	7.1.3	typed	typed	prose	typed	580-581		
7-2.md	7.2	typed	typed	prose	typed	581-584		
7-2-1.md	7.2.1	typed	typed	prose	typed	584-585		
7-3.md	7.3	typed	typed	prose	typed	585-588		
7-4.md	7.4	typed	typed	prose	typed	588-591		
7-4-1.md	7.4.1	typed	typed	prose	typed	591-592		
7-5.md	7.5	typed	typed	prose	typed	592-595		
7-5-1.md	7.5.1	typed	typed	prose	typed	595-596		
7-6.md	7.6	typed	typed	prose	typed	596-597		
7-6-1.md	7.6.1	typed	typed	prose	typed	597-598		
7-6-2.md	7.6.2	typed	typed	prose	typed	598-599		
8-0.md	8.0	typed	typed	prose	typed	602-603		
8-1.md	8.1	typed	typed	prose	typed	603-604		
8-1-1.md	8.1.1	typed	typed	prose	typed	604-606		
8-1-2.md	8.1.2	typed	typed	prose	typed	606-608		
8-1-3.md	8.1.3	typed	typed	prose	typed	608-609		
8-1-4.md	8.1.4	typed	typed	prose	typed	609-611		
8-1-5.md	8.1.5	typed	typed	prose	typed	611-614		
8-2.md	8.2	typed	typed	prose	typed	614-615		
8-2-1.md	8.2.1	typed	typed	prose	typed	615-616		
8-2-2.md	8.2.2	typed	typed	prose	typed	616-618		
8-2-3.md	8.2.3	typed	typed	prose	typed	618-619		
8-2-4.md	8.2.4	typed	typed	prose	typed	619-621		
8-3.md	8.3	typed	typed	prose	typed	621-622		
8-3-1.md	8.3.1	typed	typed	prose	typed	622-623		
8-3-2.md	8.3.2	typed	typed	prose	typed	625-626		
8-4.md	8.4	typed	typed	prose	typed	630-632		
8-5.md	8.5	typed	typed	prose	typed	632-634		
8-5-1.md	8.5.1	typed	typed	prose	typed	634-637		
8-5-2.md	8.5.2	typed	typed	prose	typed	639-640		
8-5-3.md	8.5.3	typed	typed	prose	typed	651-653		
8-5-4.md	8.5.4	typed	typed	prose	typed	665-667		
8-5-5.md	8.5.5	typed	typed	prose	typed	671-673		
8-5-6.md	8.5.6	typed	typed	prose	typed	676-678		
8-6.md	8.6	typed	typed	prose	typed	678-679		
9-0.md	9.0	typed	typed	prose	typed	679-680		
9-1.md	9.1	typed	typed	prose	typed	680-682		
9-2.md	9.2	typed	typed	prose	typed	682-683		
9-3.md	9.3	typed	typed	prose	typed	683-684		
9-4.md	9.4	typed	typed	prose	typed	684-686		
9-4-1.md	9.4.1	typed	typed	prose	typed	686-687		
9-4-2.md	9.4.2	typed	typed	prose	typed	687-688		
9-4-3.md	9.4.3	typed	typed	prose	typed	688-689		
9-4-4.md	9.4.4	typed	typed	prose	typed	695-696		
9-4-5.md	9.4.5	typed	typed	prose	typed	697-698		
9-4-6.md	9.4.6	typed	typed	prose	typed	698-699		
9-4-7.md	9.4.7	typed	typed	prose	typed	699-700		
9-5.md	9.5	typed	typed	prose	typed	700-701		
9-5-1.md	9.5.1	typed	typed	prose	typed	701-702		
9-5-2.md	9.5.2	typed	typed	prose	typed	702-703		
10-0.md	10.0	typed	typed	prose	typed	703-704		
10-1.md	10.1	typed	typed	prose	typed	704-705		
10-1-1.md	10.1.1	typed	typed	prose	typed	705-706		
10-1-2.md	10.1.2	typed	typed	prose	typed	706-707		
10-1-3.md	10.1.3	typed	typed	prose	typed	707-710		
10-1-4.md	10.1.4	typed	typed	prose	typed	710-712		
10-1-5.md	10.1.5	typed	typed	prose	typed	712-713		
10-2.md	10.2	typed	typed	prose	typed	713-718		
11-0.md	11.0	typed	typed	prose	typed	718-719		
11-1.md	11.1	typed	typed	prose	typed	719-720		
glossary.md	GLOSSARY	typed	typed	glossary	typed	720-737		
abbreviations.md	ABBREVIATIONS	typed	typed	prose	typed	737-742		
index.md	INDEX	typed	typed	generated navigation	typed	742-779		
comments.md	COMMENTS	typed	typed	prose	typed	779-783		
# summary	best-effort=1	typed=228	total=229
